Event,Leaders Needed,Leaders Assigned,Staffing Percentage,Fully Staffed,Time Slot,Duration (hours)
Kit Pickup & Icebreakers,97,74,76.3,False,10:00am - 12:30pm,2.5
Dean's Lunch,20,20,100.0,True,12:30pm - 1:45pm,1.25
Welcome Ceremony,60,60,100.0,True,2:00pm - 3:00pm,1.0
Tours and Chants,60,60,100.0,True,3:00pm - 5:00pm,2.0
Matriculation,10,10,100.0,True,5:00pm - 7:00pm,2.0
Matriculation Reception,10,10,100.0,True,7:00pm - 8:30pm,1.5
Social and Carnival Games,30,30,100.0,True,9:00pm - 11:00pm,2.0
Student Services Resource Fair,20,20,100.0,True,10:00am - 12:00pm,2.0
Lunch,20,20,100.0,True,12:00pm - 1:30pm,1.5
Pre-UofT,40,40,100.0,True,1:30pm - 3:30pm,2.0
Trin Campus Tour + BIPOC Resource Fair and Culture Fest,40,40,100.0,True,4:00pm - 6:00pm,2.0
Dinner,20,20,100.0,True,6:00pm - 7:30pm,1.5
Live Karaoke,20,20,100.0,True,7:30pm - 10:30pm,3.0
Arts and Crafts,8,8,100.0,True,7:30pm - 10:30pm,3.0
Scavenger Hunt,30,30,100.0,True,10:00am - 11:00am,1.0
Lunch (Wed),20,20,100.0,True,11:00am - 11:30am,0.5
Consent Workshop,20,20,100.0,True,11:30am - 1:30pm,2.0
Quadvising,20,20,100.0,True,1:30pm - 3:30pm,2.0
AGO Trip,15,15,100.0,True,3:30pm - 5:30pm,2.0
Academic Workshops,15,15,100.0,True,3:30pm - 5:30pm,2.0
Dinner (Wed),20,20,100.0,True,5:30pm - 7:00pm,1.5
Block Party,16,16,100.0,True,7:00pm - 10:00pm,3.0
Movie Night + Poster Making,8,8,100.0,True,7:00pm - 10:00pm,3.0
UTSU Cheer Off,15,15,100.0,True,10:00am - 12:00pm,2.0
Rainbow Trinity Pot Painting,15,15,100.0,True,10:00am - 12:00pm,2.0
UTSU Clubs Fair and Food Trucks,20,20,100.0,True,1:00pm - 3:30pm,2.5
"Locating T Cards, books, classes",10,10,100.0,True,1:00pm - 3:30pm,2.5
Academic Workshops (Thu),15,15,100.0,True,3:30pm - 6:00pm,2.5
Commuter Cookout,10,10,100.0,True,3:30pm - 6:00pm,2.5
TCDS Rookie Theatre Event,10,10,100.0,True,3:30pm - 6:00pm,2.5
Provost Dinner,25,25,100.0,True,6:00pm - 7:30pm,1.5
Talent Show,15,15,100.0,True,7:30pm - 10:00pm,2.5
Board Game Night w/ TCGC,8,8,100.0,True,7:30pm - 10:00pm,2.5
Drop-in Sports,15,15,100.0,True,10:00am - 12:30pm,2.5
Arts and Crafts (Fri),10,10,100.0,True,10:00am - 12:30pm,2.5
TCM Lunch,15,15,100.0,True,12:30pm - 2:00pm,1.5
Trinity Clubs Fair (with Trinity Wellness Gelato!),20,20,100.0,True,2:00pm - 4:00pm,2.0
Dinner (Fri),20,20,100.0,True,4:30pm - 5:00pm,0.5
Closing Ceremony,50,50,100.0,True,5:00pm - 6:30pm,1.5
Tri-College Dance,20,20,100.0,True,7:30pm - 11:00pm,3.5
Don / CA Trivia,10,10,100.0,True,7:30pm - 11:00pm,3.5
TCOS Bouldering Event,8,8,100.0,True,10:00am - 12:00pm,2.0
High Park Picnic,12,12,100.0,True,12:30pm - 5:30pm,5.0
Football Game,16,16,100.0,True,7:00pm - 10:00pm,3.0
Food Tour,12,12,100.0,True,10:00am - 6:00pm,8.0
