Event,Leaders Needed,Leaders Assigned,Staffing Percentage,Fully Staffed,Time Slot,Duration (hours)
Kit Pickup & Icebreakers,16,16,100.0,True,10:00am - 12:30pm,2.5
Dean's Lunch,6,6,100.0,True,12:30pm - 1:30pm,1.0
Welcome Ceremony,8,8,100.0,True,2:00pm - 3:00pm,1.0
Tours and Chants,6,6,100.0,True,3:30pm - 4:30pm,1.0
Matriculation,16,16,100.0,True,5:30pm - 7:00pm,1.5
Matriculation Reception,6,6,100.0,True,7:00pm - 8:30pm,1.5
Social and Carnival Games,16,16,100.0,True,9:00pm - 11:00pm,2.0
Student Services Resource Fair,6,6,100.0,True,10:00am - 12:00pm,2.0
Lunch,6,6,100.0,True,11:00am - 11:30am,0.5
Pre-UofT,5,5,100.0,True,2:00pm - 3:30pm,1.5
Trin Campus Tour,16,16,100.0,True,3:30pm - 6:00pm,2.5
Dinner,8,8,100.0,True,5:00pm - 6:00pm,1.0
Live Karaoke,12,12,100.0,True,9:00pm - 10:30pm,1.5
Arts and Crafts,6,6,100.0,True,10:00am - 12:30pm,2.5
Scavenger Hunt,12,12,100.0,True,10:00am - 11:00am,1.0
Consent Workshop,12,12,100.0,True,11:30am - 1:30pm,2.0
Quadvising,12,12,100.0,True,1:30pm - 3:30pm,2.0
Academic Workshops,8,8,100.0,True,4:00pm - 6:00pm,2.0
Block Party,16,16,100.0,True,7:00pm - 10:00pm,3.0
Movie Night + Poster Making,8,8,100.0,True,7:00pm - 10:00pm,3.0
AGO Trip,6,6,100.0,True,7:00pm - 10:00pm,3.0
Thursday Breakfast Pancake Making,12,12,100.0,True,10:00am - 1:00pm,3.0
UTSU Clubs Fair,12,12,100.0,True,1:00pm - 4:00pm,3.0
"Locating T Cards, books, classes",8,8,100.0,True,1:00pm - 4:00pm,3.0
TCDS Rookie Theatre Event,8,8,100.0,True,4:00pm - 6:00pm,2.0
Commuter Cookout,6,6,100.0,True,4:00pm - 6:00pm,2.0
Provost Dinner,12,12,100.0,True,6:00pm - 7:30pm,1.5
Talent Show,12,12,100.0,True,7:30pm - 10:00pm,2.5
Board Game Night w/ TCGC,8,8,100.0,True,7:30pm - 10:00pm,2.5
Rainbow Trinity Pot Painting,6,6,100.0,True,7:30pm - 10:00pm,2.5
Drop-in Sports,8,8,100.0,True,10:00am - 12:30pm,2.5
TCM Lunch,8,8,100.0,True,12:30pm - 2:00pm,1.5
Trinity Clubs Fair,12,12,100.0,True,2:00pm - 3:30pm,1.5
Closing Ceremony,12,12,100.0,True,6:00pm - 7:00pm,1.0
ROM Dance,16,16,100.0,True,7:30pm - 11:00pm,3.5
TCOS Bouldering Event,8,8,100.0,True,10:00am - 12:00pm,2.0
Picnic and City Tour,12,12,100.0,True,10:00am - 6:00pm,8.0
Food Tour,12,12,100.0,True,12:30pm - 5:30pm,5.0
Football Game,16,16,100.0,True,7:00pm - 10:00pm,3.0
